"isocode"	"year"	"month"	"ged_best_ns"	"ged_best_os"	"ged_best_sb"	"best"
"TCD"	1993	1	0	45	50	95
"TCD"	1993	2	0	4	0	4
"TCD"	1993	3	0	36	26	62
"TCD"	1993	4	0	104	0	104
"TCD"	1993	5	0	0	4	4
"TCD"	1993	8	0	3	40	43
"TCD"	1993	10	0	1	0	1
"TCD"	1994	1	0	200	56	256
"TCD"	1994	3	0	0	0	0
"TCD"	1994	4	0	0	0	0
"TCD"	1994	6	0	24	102	126
"TCD"	1994	7	0	100	0	100
"TCD"	1994	8	0	30	9	39
"TCD"	1995	1	0	0	0	0
"TCD"	1995	4	0	5	0	5
"TCD"	1995	5	0	24	0	24
"TCD"	1995	6	0	2	4	6
"TCD"	1995	8	0	17	0	17
"TCD"	1995	9	0	1	0	1
"TCD"	1996	11	0	4	0	4
"TCD"	1997	1	0	2	0	2
"TCD"	1997	2	0	3	0	3
"TCD"	1997	6	0	2	0	2
"TCD"	1997	10	0	0	58	58
"TCD"	1997	11	0	7	0	7
"TCD"	1997	12	0	23	39	62
"TCD"	1998	2	0	24	0	24
"TCD"	1998	3	0	140	34	174
"TCD"	1999	2	0	0	126	126
"TCD"	1999	3	0	0	28	28
"TCD"	1999	4	0	0	0	0
"TCD"	1999	7	0	0	0	0
"TCD"	1999	8	0	0	0	0
"TCD"	1999	11	0	0	237	237
"TCD"	1999	12	0	0	3	3
"TCD"	2000	1	0	0	187	187
"TCD"	2000	2	0	0	283	283
"TCD"	2000	4	0	0	62	62
"TCD"	2000	7	0	0	240	240
"TCD"	2000	8	0	5	0	5
"TCD"	2000	9	0	0	4	4
"TCD"	2000	10	0	0	0	0
"TCD"	2000	11	72	0	0	72
"TCD"	2000	12	0	0	217	217
"TCD"	2001	3	0	0	224	224
"TCD"	2001	5	0	0	0	0
"TCD"	2001	7	0	0	2	2
"TCD"	2001	12	0	4	0	4
"TCD"	2002	5	0	0	5	5
"TCD"	2002	10	0	3	289	292
"TCD"	2003	2	0	0	0	0
"TCD"	2003	3	0	0	2	2
"TCD"	2003	9	0	0	35	35
"TCD"	2003	12	0	0	0	0
"TCD"	2004	1	0	3	0	3
"TCD"	2004	2	0	10	0	10
"TCD"	2004	3	0	1	50	51
"TCD"	2004	4	0	5	0	5
"TCD"	2004	5	0	6	0	6
"TCD"	2004	6	0	3	0	3
"TCD"	2005	9	0	110	0	110
"TCD"	2005	12	0	57	100	157
"TCD"	2006	1	0	12	0	12
"TCD"	2006	2	0	12	0	12
"TCD"	2006	3	7	47	234	288
"TCD"	2006	4	0	172	471	643
"TCD"	2006	5	0	21	17	38
"TCD"	2006	6	2	27	0	29
"TCD"	2006	7	20	0	0	20
"TCD"	2006	9	44	90	177	311
"TCD"	2006	10	0	40	90	130
"TCD"	2006	11	141	51	22	214
"TCD"	2006	12	0	20	239	259
"TCD"	2007	1	94	0	6	100
"TCD"	2007	2	0	0	45	45
"TCD"	2007	3	0	200	18	218
"TCD"	2007	6	0	5	0	5
"TCD"	2007	8	12	0	0	12
"TCD"	2007	9	0	0	1	1
"TCD"	2007	10	20	0	0	20
"TCD"	2007	11	0	0	29	29
"TCD"	2007	12	0	0	1	1
"TCD"	2008	1	0	0	977	977
